database,workload,query,p50,p95,mean,min,max,iterations,concurrency
Memgraph,loading,total_load_time_ms,834510.0471660008,834510.0471660008,834510.0471660008,834510.0471660008,834510.0471660008,1,1
Memgraph,loading,nodes_per_second,755.5173640952756,755.5173640952756,755.5173640952756,755.5173640952756,755.5173640952756,1,1
Memgraph,loading,rels_per_second,976.4787890099656,976.4787890099656,976.4787890099656,976.4787890099656,976.4787890099656,1,1
Memgraph,traversal,1hop,478.324,717.596,502.268,270.565,4430.783,100,1
Memgraph,traversal,2hop,482.289,630.142,484.457,269.634,1887.113,100,1
Memgraph,traversal,3hop,482.191,626.748,464.879,271.691,768.815,100,1
Memgraph,lookup,point_lookup,481.831,788.102,494.41,277.83,2851.401,100,1
Memgraph,lookup,indexed_lookup,487.133,815.096,509.865,268.186,1790.464,100,1
Memgraph,aggregation,degree_distribution,1084.495,1462.746,1120.317,796.428,2575.252,100,1
Memgraph,mixed,throughput_qps,1.7666666666666666,1.7666666666666666,1.7666666666666666,1.7666666666666666,1.7666666666666666,1,1
Memgraph,mixed,read_latency,473.177,615.78,474.335,284.877,924.896,44,1
Memgraph,mixed,write_latency,860.435,1776.309,1015.373,645.688,2261.337,9,1
Memgraph,mixed,throughput_qps,19.166666666666668,19.166666666666668,19.166666666666668,19.166666666666668,19.166666666666668,1,10
Memgraph,mixed,read_latency,452.212,586.893,440.66,249.418,1924.523,459,10
Memgraph,mixed,write_latency,880.624,1067.722,854.908,529.099,2189.195,116,10
Memgraph,mixed,throughput_qps,67.33333333333333,67.33333333333333,67.33333333333333,67.33333333333333,67.33333333333333,1,40
Memgraph,mixed,read_latency,460.983,673.214,499.783,246.548,3032.785,1610,40
Memgraph,mixed,write_latency,911.226,1976.154,977.1,506.799,3495.099,410,40
FalkorDB,loading,total_load_time_ms,18633.111667000776,18633.111667000776,18633.111667000776,18633.111667000776,18633.111667000776,1,1
FalkorDB,loading,nodes_per_second,183979.63473839164,183979.63473839164,183979.63473839164,183979.63473839164,183979.63473839164,1,1
FalkorDB,loading,rels_per_second,18217.362141129117,18217.362141129117,18217.362141129117,18217.362141129117,18217.362141129117,1,1
FalkorDB,traversal,1hop,0.294,0.334,0.285,0.205,0.403,100,1
FalkorDB,traversal,2hop,0.284,0.331,0.282,0.209,0.934,100,1
FalkorDB,traversal,3hop,0.321,3.133,0.966,0.2,28.25,100,1
FalkorDB,lookup,point_lookup,0.31,0.358,0.317,0.272,0.514,100,1
FalkorDB,lookup,indexed_lookup,0.326,0.409,0.334,0.241,0.545,100,1
FalkorDB,aggregation,degree_distribution,815.15,913.32,812.998,624.059,1013.65,99,1
FalkorDB,mixed,throughput_qps,242.8,242.8,242.8,242.8,242.8,1,1
FalkorDB,mixed,read_latency,0.533,1.095,0.744,0.242,60.625,5890,1
FalkorDB,mixed,write_latency,7.71,64.121,18.252,5.624,752.807,1394,1
FalkorDB,mixed,throughput_qps,1453.5,1453.5,1453.5,1453.5,1453.5,1,10
FalkorDB,mixed,read_latency,0.793,12.095,4.858,0.169,272.711,35015,10
FalkorDB,mixed,write_latency,2.68,78.248,15.074,0.745,284.735,8590,10
FalkorDB,mixed,throughput_qps,4273.6,4273.6,4273.6,4273.6,4273.6,1,40
FalkorDB,mixed,read_latency,0.942,3.669,2.641,0.188,1230.48,102543,40
FalkorDB,mixed,write_latency,17.27,76.189,36.323,0.678,1247.449,25636,40
ArangoDB,loading,total_load_time_ms,589608.4731660013,589608.4731660013,589608.4731660013,589608.4731660013,589608.4731660013,1,1
ArangoDB,loading,nodes_per_second,1278.8700655913162,1278.8700655913162,1278.8700655913162,1278.8700655913162,1278.8700655913162,1,1
ArangoDB,loading,rels_per_second,1078.7278400259868,1078.7278400259868,1078.7278400259868,1078.7278400259868,1078.7278400259868,1,1
ArangoDB,traversal,1hop,301.369,446.191,331.694,286.593,676.26,100,1
ArangoDB,traversal,2hop,314.173,498.747,347.202,286.62,543.082,100,1
ArangoDB,traversal,3hop,320.309,512.07,348.076,287.738,569.646,100,1
ArangoDB,lookup,point_lookup,307.46,550.775,769.293,285.925,41614.605,100,1
ArangoDB,lookup,indexed_lookup,307.286,474.161,336.954,290.759,517.044,100,1
ArangoDB,aggregation,degree_distribution,4793.655,6458.397,4961.19,3731.9,8091.89,100,1
ArangoDB,mixed,throughput_qps,2.3,2.3,2.3,2.3,2.3,1,1
ArangoDB,mixed,read_latency,322.794,485.658,353.038,293.811,520.432,54,1
ArangoDB,mixed,write_latency,708.237,926.724,735.623,598.694,1073.919,15,1
ArangoDB,mixed,throughput_qps,15.7,15.7,15.7,15.7,15.7,1,10
ArangoDB,mixed,read_latency,518.076,746.723,535.106,295.23,1732.618,375,10
ArangoDB,mixed,write_latency,1109.409,1447.495,1063.135,608.97,2041.529,96,10
ArangoDB,mixed,throughput_qps,54.86666666666667,54.86666666666667,54.86666666666667,54.86666666666667,54.86666666666667,1,40
ArangoDB,mixed,read_latency,527.327,1084.999,616.104,279.523,3128.489,1315,40
ArangoDB,mixed,write_latency,1129.228,2123.965,1246.088,578.237,3819.528,331,40
